"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","5","0","0"
"","Render","Render app","0","0","1","0","0"
"","Render","Render Register page","0","0","1","0","0"
"","Render","Render Login page","0","0","1","0","0"
"","Render","Render Header items","0","0","2","0","0"
"","Render","Render Recipe","0","0","1","0","0"
"","Render","Render add recipe","0","0","2","0","0"
"Client: Unit Tests","Recipes Service","Get current user","0","0","1","0","0"
"","Render","Render Greeting page","0","0","2","0","0"
"","Render","Render NotFound page","0","0","1","0","0"
"","Render","Render Main page","0","0","2","0","0"
"","Render","Render Recipes","0","0","1","0","0"
"Client: Unit Tests","Recipes Service","Get current recipes","0","0","1","0","0"
"","Render","Render Recipe page","0","0","1","0","0"
