"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 17:21:35 GMT 2022","Thu Jan 20 17:21:35 GMT 2022","26","","<Register/>","","<Register/>","Render Register","Render Register",""
"passed","Thu Jan 20 17:21:33 GMT 2022","Thu Jan 20 17:21:33 GMT 2022","18","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an authorised user","Render AddRecipe for an authorised user",""
"passed","Thu Jan 20 17:21:34 GMT 2022","Thu Jan 20 17:21:34 GMT 2022","7","","<RecipesService/>","","<RecipesService/>","currentUser","currentUser",""
"passed","Thu Jan 20 17:21:33 GMT 2022","Thu Jan 20 17:21:33 GMT 2022","23","","<Greeting/>","","<Greeting/>","Render Greeting for an authorised user","Render Greeting for an authorised user",""
"passed","Thu Jan 20 17:21:35 GMT 2022","Thu Jan 20 17:21:35 GMT 2022","31","","<Login/>","","<Login/>","Render Login","Render Login",""
"passed","Thu Jan 20 17:21:34 GMT 2022","Thu Jan 20 17:21:34 GMT 2022","5","","<RecipesService/>","","<RecipesService/>","getRecipes","getRecipes",""
"passed","Thu Jan 20 17:21:33 GMT 2022","Thu Jan 20 17:21:33 GMT 2022","14","","<Header/>","","<Header/>","Render Header for an authorised user","Render Header for an authorised user",""
"passed","Thu Jan 20 17:21:36 GMT 2022","Thu Jan 20 17:21:36 GMT 2022","19","","<Recipe/>","","<Recipe/>","Render Recipe","Render Recipe",""
"passed","Thu Jan 20 17:25:44 GMT 2022","Thu Jan 20 17:25:46 GMT 2022","1759","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Thu Jan 20 17:25:48 GMT 2022","Thu Jan 20 17:25:49 GMT 2022","1330","","Recipes.spec.mjs","Recipes","","","Add Recipe",""
"passed","Thu Jan 20 17:25:47 GMT 2022","Thu Jan 20 17:25:48 GMT 2022","835","","a11y/Accessibility.spec.mjs","A11y","","","Register accessibility",""
"passed","Thu Jan 20 17:21:33 GMT 2022","Thu Jan 20 17:21:33 GMT 2022","23","","<Header/>","","<Header/>","Render Header for an unauthorised user","Render Header for an unauthorised user",""
"passed","Thu Jan 20 17:21:34 GMT 2022","Thu Jan 20 17:21:34 GMT 2022","25","","<Main/>","","<Main/>","Render Main for an unauthorised user","Render Main for an unauthorised user",""
"passed","Thu Jan 20 17:21:32 GMT 2022","Thu Jan 20 17:21:32 GMT 2022","5","","<Recipes/>","","<Recipes/>","Render empty Recipes","Render empty Recipes",""
"passed","Thu Jan 20 17:21:36 GMT 2022","Thu Jan 20 17:21:36 GMT 2022","15","","<NotFound/>","","<NotFound/>","Render NotFound","Render NotFound",""
"passed","Thu Jan 20 17:25:46 GMT 2022","Thu Jan 20 17:25:47 GMT 2022","836","","a11y/Accessibility.spec.mjs","A11y","","","Login accessibility",""
"passed","Thu Jan 20 17:25:49 GMT 2022","Thu Jan 20 17:25:51 GMT 2022","1593","","Register.spec.mjs","Register","","","Register, Logout, Login, check session",""
"passed","Thu Jan 20 17:21:34 GMT 2022","Thu Jan 20 17:21:34 GMT 2022","61","","<Main/>","","<Main/>","Render Main for an authorised user","Render Main for an authorised user",""
"passed","Thu Jan 20 17:21:33 GMT 2022","Thu Jan 20 17:21:33 GMT 2022","20","","<Greeting/>","","<Greeting/>","Render Greeting for an unauthorised user","Render Greeting for an unauthorised user",""
"passed","Thu Jan 20 17:21:36 GMT 2022","Thu Jan 20 17:21:36 GMT 2022","46","","<App/>","","<App/>","Render app","Render app",""
"passed","Thu Jan 20 17:21:32 GMT 2022","Thu Jan 20 17:21:32 GMT 2022","59","","<Recipes/>","","<Recipes/>","Render Recipes","Render Recipes",""
"passed","Thu Jan 20 17:21:33 GMT 2022","Thu Jan 20 17:21:33 GMT 2022","30","","<AddRecipe/>","","<AddRecipe/>","Render AddRecipe for an unauthorised user","Render AddRecipe for an unauthorised user",""
